season,week,manager,pts,R,RBI,SB,BB,HBP,1B,2B,3B,HR,TB
2022,16,Andy,233.5,42,33,4,24,6,0,0,0,0,120
2022,16,Sam,306,48,59,0,30,7,0,0,0,0,146
2022,16,Howard,267.5,43,44,4,29,4,0,0,0,0,137
2022,16,Rich,147.5,24,27,0,21,2,0,0,0,0,68
2022,16,Rouse,181,32,27,4,24,5,0,0,0,0,81
2022,16,Dave,185,33,29,2,13,1,0,0,0,0,100
2022,17,Boyce,243.5,48,37,2,29,4,0,0,0,0,102
2022,17,Ulmer,206,32,30,7,32,3,0,0,0,0,97
2022,17,Garth,166,22,32,2,20,1,0,0,0,0,85
2022,17,Chris,211,36,31,6,23,3,0,0,0,0,104
2022,17,Andy,213.5,35,34,6,19,0,0,0,0,0,107
2022,17,Sam,244.5,41,41,2,28,4,0,0,0,0,117
2022,17,Howard,215,33,38,2,17,4,0,0,0,0,117
2022,17,Rich,101,16,13,1,12,0,0,0,0,0,69
2022,17,Rouse,191,30,33,4,19,5,0,0,0,0,89
2022,17,Dave,212,40,30,2,18,3,0,0,0,0,115
2022,18,Boyce,240,41,34,5,30,1,0,0,0,0,128
2022,18,Ulmer,192.5,36,26,4,28,2,0,0,0,0,91
2022,18,Garth,187,22,33,6,36,3,0,0,0,0,90
2022,18,Chris,225,44,31,4,25,2,0,0,0,0,104
2022,18,Andy,222.5,41,30,6,21,7,0,0,0,0,108
2022,18,Sam,263,38,47,3,28,3,0,0,0,0,143
2022,18,Howard,273.5,40,50,6,28,4,0,0,0,0,129
2022,18,Rich,189,25,38,3,22,2,0,0,0,0,90
2022,18,Rouse,213,35,33,5,31,4,0,0,0,0,98
2022,18,Dave,291.5,50,50,2,27,5,0,0,0,0,142
2022,19,Boyce,154.5,27,20,2,31,2,0,0,0,0,80
2022,19,Ulmer,184.5,28,28,2,23,2,0,0,0,0,110
2022,19,Garth,135,19,25,3,12,2,0,0,0,0,68
